Omega RDXL6SD-USB Serial No. 0102-01540 - Sampled Data
Date:,2020-04-09

Time,Sample No.,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Cold Junction 1,Cold Junction 2,Cold Junction 3,Cold Junction 4,Voltage 1,Voltage 2,Voltage 3,Voltage 4,Resistance 5,Resistance 6,
,,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,mV,mV,mV,mV,Ω,Ω,
2020-04-09 19:52:29,46, 274.4, 266.1, 262.7, 248.0,High,High,  85.3,  86.3,  87.4,  87.7,4.3249,4.5079,4.3928,3.9905,High,High,
2020-04-09 19:54:29,47, 277.8, 269.5, 266.4, 251.2,High,High,  85.3,  86.4,  87.3,  87.8,4.4009,4.6026,4.4972,4.0734,High,High,
2020-04-09 19:56:29,48, 281.3, 272.5, 269.7, 253.8,High,High,  85.6,  86.8,  87.6,  88.0,4.4728,4.6794,4.5818,4.1404,High,High,
2020-04-09 19:58:29,49, 284.4, 275.0, 271.9, 256.5,High,High,  85.7,  86.9,  87.7,  88.2,4.5405,4.7423,4.6405,4.2134,High,High,
2020-04-09 20:00:29,50, 287.8, 278.1, 275.0, 259.3,High,High,  85.8,  86.9,  87.7,  88.2,4.6163,4.8287,4.7247,4.2860,High,High,
2020-04-09 20:02:29,51, 291.2, 281.6, 277.9, 262.5,High,High,  86.0,  87.1,  87.8,  88.0,4.6885,4.9176,4.8022,4.3732,High,High,
2020-04-09 20:04:29,52, 294.5, 284.0, 280.1, 265.2,High,High,  86.0,  87.1,  87.9,  88.2,4.7651,4.9845,4.8629,4.4479,High,High,
2020-04-09 20:06:29,53, 297.9, 287.0, 283.9, 268.2,High,High,  86.1,  87.1,  87.9,  88.2,4.8377,5.0629,4.9626,4.5271,High,High,
2020-04-09 20:08:29,54, 301.3, 289.8, 286.6, 270.8,High,High,  86.2,  87.2,  88.1,  88.3,4.9107,5.1410,5.0322,4.5955,High,High,
2020-04-09 20:10:29,55, 304.9, 292.5, 290.0, 273.6,High,High,  86.2,  87.2,  88.0,  88.3,4.9904,5.2154,5.1295,4.6752,High,High,
2020-04-09 20:12:29,56, 308.5, 295.6, 293.2, 276.6,High,High,  86.1,  87.2,  88.0,  88.2,5.0727,5.3021,5.2184,4.7536,High,High,
2020-04-09 20:14:29,57, 311.8, 298.1, 295.9, 279.3,High,High,  86.2,  87.1,  88.0,  88.3,5.1464,5.3720,5.2902,4.8294,High,High,
2020-04-09 20:16:29,58, 315.4, 301.3, 298.8, 282.2,High,High,  86.0,  87.2,  88.0,  88.4,5.2269,5.4611,5.3719,4.9052,High,High,
2020-04-09 20:18:29,59, 319.0, 304.4, 301.0, 284.9,High,High,  86.0,  87.0,  87.9,  88.4,5.3094,5.5545,5.4365,4.9790,High,High,
2020-04-09 20:20:29,60, 322.4, 307.1, 304.0, 287.6,High,High,  86.0,  87.0,  87.9,  88.4,5.3875,5.6275,5.5191,5.0566,High,High,
2020-04-09 20:22:29,61, 325.6, 309.9, 306.2, 290.4,High,High,  86.0,  87.1,  88.0,  88.5,5.4562,5.7071,5.5800,5.1278,High,High,
2020-04-09 20:24:29,62, 329.1, 312.6, 309.3, 293.1,High,High,  86.3,  87.5,  88.5,  88.7,5.5274,5.7732,5.6612,5.1980,High,High,
2020-04-09 20:26:29,63, 332.2, 315.3, 311.8, 295.7,High,High,  86.6,  87.8,  88.7,  89.1,5.5886,5.8455,5.7293,5.2611,High,High,
2020-04-09 20:28:29,64, 335.7, 317.9, 314.0, 298.3,High,High,  86.7,  87.9,  88.8,  89.2,5.6608,5.9149,5.7862,5.3330,High,High,
2020-04-09 20:30:29,65, 339.0, 321.0, 316.9, 301.2,High,High,  87.1,  88.1,  88.9,  89.3,5.7317,5.9988,5.8643,5.4121,High,High,
2020-04-09 20:32:29,66, 342.1, 323.8, 319.7, 304.0,High,High,  87.2,  88.2,  89.1,  89.5,5.8000,6.0722,5.9398,5.4873,High,High,
2020-04-09 20:34:29,67, 345.6, 326.5, 322.6, 306.7,High,High,  87.4,  88.4,  89.2,  89.5,5.8718,6.1450,6.0185,5.5615,High,High,
2020-04-09 20:36:29,68, 349.2, 329.6, 325.0, 309.5,High,High,  87.5,  88.4,  89.5,  89.6,5.9466,6.2319,6.0848,5.6390,High,High,
2020-04-09 20:38:29,69, 352.5, 332.2, 328.0, 312.1,High,High,  87.5,  88.7,  89.5,  89.7,6.0196,6.3021,6.1625,5.7088,High,High,
2020-04-09 20:40:29,70, 355.9, 335.3, 329.6, 314.8,High,High,  87.6,  88.8,  89.7,  89.7,6.0950,6.3890,6.2054,5.7836,High,High,
2020-04-09 20:42:29,71, 359.7, 338.0, 333.5, 317.6,High,High,  88.0,  88.9,  89.7,  89.8,6.1708,6.4605,6.3152,5.8619,High,High,
2020-04-09 20:44:29,72, 363.0, 340.7, 335.4, 320.5,High,High,  88.1,  89.0,  89.8,  90.1,6.2422,6.5345,6.3652,5.9400,High,High,
2020-04-09 20:46:29,73, 366.5, 343.3, 336.6, 322.9,High,High,  88.1,  89.1,  89.9,  90.2,6.3205,6.6065,6.4000,6.0066,High,High,
2020-04-09 20:48:29,74, 370.1, 346.5, 341.9, 325.7,High,High,  87.9,  88.9,  89.8,  90.1,6.4064,6.7015,6.5498,6.0866,High,High,
2020-04-09 20:50:29,75, 373.5, 348.5, 344.1, 328.3,High,High,  87.6,  88.8,  89.6,  90.0,6.4833,6.7603,6.6161,6.1615,High,High,
2020-04-09 20:52:29,76, 377.1, 352.1, 346.5, 331.0,High,High,  87.5,  88.7,  89.6,  90.0,6.5676,6.8650,6.6862,6.2387,High,High,
2020-04-09 20:54:29,77, 380.7, 355.3, 349.0, 333.8,High,High,  87.5,  88.6,  89.7,  90.1,6.6486,6.9598,6.7553,6.3149,High,High,
2020-04-09 20:56:29,78, 384.3, 358.1, 352.7, 336.5,High,High,  87.5,  88.7,  89.7,  90.1,6.7297,7.0417,6.8594,6.3887,High,High,
2020-04-09 20:58:29,79, 387.6, 360.8, 355.3, 339.1,High,High,  87.5,  88.6,  89.8,  90.3,6.8051,7.1221,6.9338,6.4612,High,High,
2020-04-09 21:00:29,80, 390.7, 362.7, 358.2, 341.7,High,High,  87.9,  89.0,  90.0,  90.5,6.8646,7.1671,7.0118,6.5295,High,High,
2020-04-09 21:02:29,81, 394.1, 365.5, 360.8, 344.4,High,High,  88.3,  89.5,  90.4,  90.9,6.9292,7.2406,7.0827,6.5983,High,High,
2020-04-09 21:04:29,82, 397.3, 368.4, 362.2, 347.3,High,High,  88.8,  89.8,  90.8,  91.2,6.9939,7.3144,7.1125,6.6727,High,High,
2020-04-09 21:06:29,83, 401.0, 371.7, 365.9, 350.2,High,High,  89.0,  90.2,  91.0,  91.4,7.0688,7.4052,7.2139,6.7496,High,High,
2020-04-09 21:08:29,84, 404.2, 372.8, 368.7, 352.8,High,High,  89.3,  90.5,  91.3,  91.8,7.1292,7.4313,7.2902,6.8148,High,High,
2020-04-09 21:10:29,85, 407.7, 376.7, 369.7, 355.2,High,High,  89.7,  90.6,  91.6,  91.9,7.2051,7.5405,7.3184,6.8837,High,High,
2020-04-09 21:12:29,86, 410.6, 377.7, 372.3, 357.8,High,High,  89.8,  90.8,  91.7,  92.0,7.2641,7.5681,7.3872,6.9561,High,High,
2020-04-09 21:14:29,87, 411.8, 376.9, 373.5, 359.2,High,High,  89.9,  90.9,  91.8,  92.1,7.2861,7.5387,7.4209,6.9943,High,High,
2020-04-09 21:16:29,88, 412.5, 377.6, 373.2, 360.8,High,High,  90.1,  91.1,  91.9,  92.2,7.3027,7.5563,7.4086,7.0393,High,High,
2020-04-09 21:18:29,89, 412.9, 377.1, 372.7, 361.7,High,High,  90.2,  91.3,  92.1,  92.3,7.3083,7.5410,7.3917,7.0633,High,High,
